"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 17 15:57:55 IST 2022","Sat Dec 17 15:58:00 IST 2022","4730","","Base Configurations","","Base Configurations","Launch the url-1","Launch the url-1",""
"passed","Sat Dec 17 15:58:04 IST 2022","Sat Dec 17 15:58:04 IST 2022","379","","Fill Details of Test Automation Screen-2","","Fill Details of Test Automation Screen-2","Enter Email Address","Enter Email Address",""
"passed","Sat Dec 17 15:58:17 IST 2022","Sat Dec 17 15:58:19 IST 2022","2183","","Login Page Objects","","Login Page Objects","click on login button","click on login button",""
"passed","Sat Dec 17 15:58:21 IST 2022","Sat Dec 17 15:58:21 IST 2022","306","","Login Page Objects","","Login Page Objects","Enter Password","Enter Password",""
"passed","Sat Dec 17 15:58:07 IST 2022","Sat Dec 17 15:58:10 IST 2022","3328","","Fill Details of Test Automation Screen-1","","Fill Details of Test Automation Screen-1","Launch the url","Launch the url",""
"passed","Sat Dec 17 15:58:21 IST 2022","Sat Dec 17 15:58:21 IST 2022","393","","Login Page Objects","","Login Page Objects","Enter Email Address","Enter Email Address",""
"passed","Sat Dec 17 15:58:04 IST 2022","Sat Dec 17 15:58:04 IST 2022","292","","Fill Details of Test Automation Screen-2","","Fill Details of Test Automation Screen-2","Enter Mobile Number","Enter Mobile Number",""
"passed","Sat Dec 17 15:58:05 IST 2022","Sat Dec 17 15:58:05 IST 2022","390","","Fill Details of Test Automation Screen-2","","Fill Details of Test Automation Screen-2","Enter Address and Click on Submit button","Enter Address and Click on Submit button",""
"passed","Sat Dec 17 15:58:20 IST 2022","Sat Dec 17 15:58:20 IST 2022","304","","Login Page Objects","","Login Page Objects","Enter Name","Enter Name",""
"passed","Sat Dec 17 15:58:03 IST 2022","Sat Dec 17 15:58:04 IST 2022","330","","Fill Details of Test Automation Screen-2","","Fill Details of Test Automation Screen-2","Enter Name","Enter Name",""
"passed","Sat Dec 17 15:58:20 IST 2022","Sat Dec 17 15:58:21 IST 2022","295","","Login Page Objects","","Login Page Objects","Enter Mobile Number","Enter Mobile Number",""
"passed","Sat Dec 17 15:58:03 IST 2022","Sat Dec 17 15:58:03 IST 2022","434","","Fill Details of Test Automation Screen-2","","Fill Details of Test Automation Screen-2","Click on Test Automation Navigation Link","Click on Test Automation Navigation Link",""
"passed","Sat Dec 17 15:58:01 IST 2022","Sat Dec 17 15:58:03 IST 2022","1572","","Fill Details of Test Automation Screen-2","","Fill Details of Test Automation Screen-2","Launch the url","Launch the url",""
"passed","Sat Dec 17 15:58:16 IST 2022","Sat Dec 17 15:58:17 IST 2022","321","","Login Page Objects","","Login Page Objects","Enter UserName","Enter UserName",""
"passed","Sat Dec 17 15:58:11 IST 2022","Sat Dec 17 15:58:11 IST 2022","309","","Fill Details of Test Automation Screen-1","","Fill Details of Test Automation Screen-1","Enter Name","Enter Name",""
"passed","Sat Dec 17 15:58:10 IST 2022","Sat Dec 17 15:58:11 IST 2022","443","","Fill Details of Test Automation Screen-1","","Fill Details of Test Automation Screen-1","Click on Test Automation Navigation Link","Click on Test Automation Navigation Link",""
"passed","Sat Dec 17 15:58:21 IST 2022","Sat Dec 17 15:58:22 IST 2022","400","","Login Page Objects","","Login Page Objects","Enter Address and Click on Submit button","Enter Address and Click on Submit button",""
"passed","Sat Dec 17 15:58:19 IST 2022","Sat Dec 17 15:58:19 IST 2022","50","","Login Page Objects","","Login Page Objects","check user login is successful or not","check user login is successful or not",""
"passed","Sat Dec 17 15:58:04 IST 2022","Sat Dec 17 15:58:05 IST 2022","308","","Fill Details of Test Automation Screen-2","","Fill Details of Test Automation Screen-2","Enter Password","Enter Password",""
"passed","Sat Dec 17 15:58:19 IST 2022","Sat Dec 17 15:58:20 IST 2022","882","","Login Page Objects","","Login Page Objects","Click on Test Automation Navigation Link","Click on Test Automation Navigation Link",""
"passed","Sat Dec 17 15:58:12 IST 2022","Sat Dec 17 15:58:12 IST 2022","398","","Fill Details of Test Automation Screen-1","","Fill Details of Test Automation Screen-1","Enter Address and Click on Submit button","Enter Address and Click on Submit button",""
"passed","Sat Dec 17 15:58:11 IST 2022","Sat Dec 17 15:58:11 IST 2022","269","","Fill Details of Test Automation Screen-1","","Fill Details of Test Automation Screen-1","Enter Mobile Number","Enter Mobile Number",""
"passed","Sat Dec 17 15:58:14 IST 2022","Sat Dec 17 15:58:16 IST 2022","2215","","Login Page Objects","","Login Page Objects","Launch url","Launch url",""
"passed","Sat Dec 17 15:58:12 IST 2022","Sat Dec 17 15:58:12 IST 2022","301","","Fill Details of Test Automation Screen-1","","Fill Details of Test Automation Screen-1","Enter Password","Enter Password",""
"passed","Sat Dec 17 15:58:11 IST 2022","Sat Dec 17 15:58:12 IST 2022","392","","Fill Details of Test Automation Screen-1","","Fill Details of Test Automation Screen-1","Enter Email Address","Enter Email Address",""
